sample	subject	timepoint	species	cluster	within_abund	coverage	support
S11-14	S11	14	Streptococcus_sanguinis	C2	0.3871	0.33	34
S11-14	S11	14	Streptococcus_sanguinis	C7	0.1183	0.40	58
S11-14	S11	14	Streptococcus_sanguinis	C11	0.1075	0.13	19
S11-14	S11	14	Streptococcus_sanguinis	C14	0.1075	0.12	14
S11-14	S11	14	Streptococcus_sanguinis	C5	0.0860	0.15	16
S11-14	S11	14	Streptococcus_sanguinis	C0	0.0645	0.15	16
S11-14	S11	14	Streptococcus_sanguinis	C4	0.0645	0.14	12
S11-14	S11	14	Streptococcus_sanguinis	C12	0.0645	0.13	14
S11-14	S11	14	Veillonella_atypica	C10	0.2564	0.37	54
S11-14	S11	14	Veillonella_atypica	C8	0.2051	0.28	39
S11-14	S11	14	Veillonella_atypica	C7	0.1795	0.17	14
S11-14	S11	14	Veillonella_atypica	C2	0.1538	0.31	37
S11-14	S11	14	Veillonella_atypica	C1	0.1026	0.19	19
S11-14	S11	14	Veillonella_atypica	C3	0.1026	0.13	13
S11-14	S11	14	Veillonella_dispar	C7	0.1973	0.37	38
S11-14	S11	14	Veillonella_dispar	C9	0.1905	0.20	42
S11-14	S11	14	Veillonella_dispar	C14	0.1224	0.25	19
S11-14	S11	14	Veillonella_dispar	C1	0.0816	0.59	281
S11-14	S11	14	Veillonella_dispar	C6	0.0816	0.17	20
S11-14	S11	14	Veillonella_dispar	C10	0.0816	0.16	13
S11-14	S11	14	Veillonella_dispar	C2	0.0680	0.19	12
S11-14	S11	14	Veillonella_dispar	C8	0.0544	0.13	11
S11-14	S11	14	Veillonella_dispar	C12	0.0476	0.21	15
S11-14	S11	14	Veillonella_dispar	C11	0.0408	0.17	17
S11-14	S11	14	Veillonella_dispar	C5	0.0340	0.17	10
S11-14	S11	14	Veillonella_parvula	C0	0.1250	0.16	19
S11-14	S11	14	Veillonella_parvula	C3	0.1111	0.21	19
S11-14	S11	14	Veillonella_parvula	C4	0.1111	0.23	12
S11-14	S11	14	Veillonella_parvula	C5	0.1111	0.28	16
S11-14	S11	14	Veillonella_parvula	C9	0.1111	0.34	31
S11-14	S11	14	Veillonella_parvula	C10	0.1111	0.32	30
S11-14	S11	14	Veillonella_parvula	C11	0.0972	0.26	15
S11-14	S11	14	Veillonella_parvula	C2	0.0833	0.17	10
S11-14	S11	14	Veillonella_parvula	C7	0.0833	0.34	30
S11-14	S11	14	Veillonella_parvula	C12	0.0556	0.20	12
S11-1	S11	1	Actinomyces_odontolyticus	C5	0.5000	0.40	495
S11-1	S11	1	Actinomyces_odontolyticus	C2	0.3333	0.10	98
S11-1	S11	1	Actinomyces_odontolyticus	C6	0.1667	0.12	107
S11-1	S11	1	Gemella_haemolysans	C8	0.2411	0.41	27
S11-1	S11	1	Gemella_haemolysans	C10	0.1607	0.39	17
S11-1	S11	1	Gemella_haemolysans	C5	0.1317	0.35	11
S11-1	S11	1	Gemella_haemolysans	C12	0.1228	0.18	10
S11-1	S11	1	Gemella_haemolysans	C0	0.1094	0.27	14
S11-1	S11	1	Gemella_haemolysans	C9	0.0938	0.13	16
S11-1	S11	1	Gemella_haemolysans	C3	0.0603	0.29	16
S11-1	S11	1	Gemella_haemolysans	C6	0.0536	0.15	17
S11-1	S11	1	Gemella_haemolysans	C4	0.0268	0.26	15
S11-1	S11	1	Granulicatella_adiacens	C9	0.1284	0.26	85
S11-1	S11	1	Granulicatella_adiacens	C10	0.1284	0.33	17
S11-1	S11	1	Granulicatella_adiacens	C4	0.1101	0.25	14
S11-1	S11	1	Granulicatella_adiacens	C8	0.1101	0.23	73
S11-1	S11	1	Granulicatella_adiacens	C2	0.0917	0.29	16
S11-1	S11	1	Granulicatella_adiacens	C3	0.0917	0.25	41
S11-1	S11	1	Granulicatella_adiacens	C6	0.0917	0.19	12
S11-1	S11	1	Granulicatella_adiacens	C7	0.0917	0.29	18
S11-1	S11	1	Granulicatella_adiacens	C11	0.0826	0.16	13
S11-1	S11	1	Granulicatella_adiacens	C5	0.0734	0.23	23
S11-1	S11	1	Haemophilus_parainfluenzae	C1	0.1359	0.29	43
S11-1	S11	1	Haemophilus_parainfluenzae	C14	0.1211	0.31	29
S11-1	S11	1	Haemophilus_parainfluenzae	C4	0.0886	0.50	85
S11-1	S11	1	Haemophilus_parainfluenzae	C15	0.0783	0.34	40
S11-1	S11	1	Haemophilus_parainfluenzae	C3	0.0753	0.43	79
S11-1	S11	1	Haemophilus_parainfluenzae	C12	0.0620	0.22	25
S11-1	S11	1	Haemophilus_parainfluenzae	C19	0.0561	0.41	58
S11-1	S11	1	Haemophilus_parainfluenzae	C0	0.0532	0.25	43
S11-1	S11	1	Haemophilus_parainfluenzae	C6	0.0532	0.23	31
S11-1	S11	1	Haemophilus_parainfluenzae	C13	0.0473	0.25	39
S11-1	S11	1	Haemophilus_parainfluenzae	C8	0.0414	0.26	45
S11-1	S11	1	Haemophilus_parainfluenzae	C9	0.0414	0.21	34
S11-1	S11	1	Haemophilus_parainfluenzae	C7	0.0384	0.23	35
S11-1	S11	1	Haemophilus_parainfluenzae	C5	0.0355	0.21	29
S11-1	S11	1	Haemophilus_parainfluenzae	C2	0.0266	0.30	55
S11-1	S11	1	Haemophilus_parainfluenzae	C10	0.0236	0.17	11
S11-1	S11	1	Haemophilus_parainfluenzae	C17	0.0222	0.33	79
S11-1	S11	1	Neisseria_subflava	C7	0.1565	0.34	47
S11-1	S11	1	Neisseria_subflava	C0	0.1344	0.29	161
S11-1	S11	1	Neisseria_subflava	C1	0.1344	0.64	392
S11-1	S11	1	Neisseria_subflava	C3	0.1207	0.26	156
S11-1	S11	1	Neisseria_subflava	C2	0.1182	0.24	167
S11-1	S11	1	Neisseria_subflava	C5	0.1080	0.34	154
S11-1	S11	1	Neisseria_subflava	C8	0.0901	0.23	34
S11-1	S11	1	Neisseria_subflava	C6	0.0782	0.31	168
S11-1	S11	1	Neisseria_subflava	C4	0.0595	0.33	190
S11-1	S11	1	Porphyromonas_gingivalis	C12	0.2528	0.22	37
S11-1	S11	1	Porphyromonas_gingivalis	C8	0.2379	0.15	14
S11-1	S11	1	Porphyromonas_gingivalis	C14	0.1859	0.14	13
S11-1	S11	1	Porphyromonas_gingivalis	C2	0.1710	0.13	12
S11-1	S11	1	Porphyromonas_gingivalis	C15	0.1078	0.11	12
S11-1	S11	1	Porphyromonas_gingivalis	C16	0.0446	0.13	11
S11-1	S11	1	Prevotella_melaninogenica	C1	0.1681	0.59	370
S11-1	S11	1	Prevotella_melaninogenica	C9	0.1176	0.37	159
S11-1	S11	1	Prevotella_melaninogenica	C3	0.1008	0.22	48
S11-1	S11	1	Prevotella_melaninogenica	C4	0.1008	0.32	107
S11-1	S11	1	Prevotella_melaninogenica	C7	0.1008	0.27	91
S11-1	S11	1	Prevotella_melaninogenica	C2	0.0840	0.29	84
S11-1	S11	1	Prevotella_melaninogenica	C8	0.0840	0.38	153
S11-1	S11	1	Prevotella_melaninogenica	C0	0.0672	0.34	101
S11-1	S11	1	Prevotella_melaninogenica	C6	0.0672	0.14	31
S11-1	S11	1	Prevotella_melaninogenica	C5	0.0588	0.17	38
S11-1	S11	1	Prevotella_melaninogenica	C10	0.0504	0.22	56
S11-1	S11	1	Rothia_dentocariosa	C1	0.1277	0.11	26
S11-1	S11	1	Rothia_dentocariosa	C6	0.1277	0.13	21
S11-1	S11	1	Rothia_dentocariosa	C7	0.1277	0.16	21
S11-1	S11	1	Rothia_dentocariosa	C8	0.1277	0.11	21
S11-1	S11	1	Rothia_dentocariosa	C12	0.1277	0.17	35
S11-1	S11	1	Rothia_dentocariosa	C4	0.1064	0.11	23
S11-1	S11	1	Rothia_dentocariosa	C3	0.0851	0.13	25
S11-1	S11	1	Rothia_dentocariosa	C10	0.0851	0.21	35
S11-1	S11	1	Rothia_dentocariosa	C11	0.0851	0.13	22
S11-1	S11	1	Rothia_mucilaginosa	C1	0.5306	0.13	72
S11-1	S11	1	Rothia_mucilaginosa	C10	0.3006	0.23	141
